user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration,day,waiting_time
166377,2019-08-04 00:00:00+03:00,in,False,,True,2,0,4,2019-08-04,4
166377,2019-08-05 00:00:00+03:00,out,True,880022,True,3,0,5,2019-08-05,5
166377,2019-08-05 00:00:00+03:00,out,True,880020,True,1,0,1,2019-08-05,1
166377,2019-08-05 00:00:00+03:00,out,True,880020,False,1,10,18,2019-08-05,8
166377,2019-08-05 00:00:00+03:00,out,False,880022,True,3,0,25,2019-08-05,25
166377,2019-08-05 00:00:00+03:00,out,False,880020,False,2,3,29,2019-08-05,26
166377,2019-08-05 00:00:00+03:00,out,False,880020,True,8,0,50,2019-08-05,50
166377,2019-08-05 00:00:00+03:00,in,False,,True,6,0,35,2019-08-05,35
166377,2019-08-05 00:00:00+03:00,out,False,880020,True,8,0,50,2019-08-05,50
166377,2019-08-06 00:00:00+03:00,in,False,,True,4,0,62,2019-08-06,62
166377,2019-08-06 00:00:00+03:00,out,False,881278,True,3,0,29,2019-08-06,29
166377,2019-08-06 00:00:00+03:00,out,False,880020,True,5,0,70,2019-08-06,70
166377,2019-08-06 00:00:00+03:00,out,True,881278,True,2,0,5,2019-08-06,5
166377,2019-08-06 00:00:00+03:00,out,False,880020,False,5,800,819,2019-08-06,19
166377,2019-08-07 00:00:00+03:00,out,False,880028,True,1,0,15,2019-08-07,15
166377,2019-08-07 00:00:00+03:00,out,False,880026,False,1,21,28,2019-08-07,7
166377,2019-08-07 00:00:00+03:00,out,False,880020,False,2,232,240,2019-08-07,8
166377,2019-08-07 00:00:00+03:00,in,False,,True,2,0,24,2019-08-07,24
166377,2019-08-07 00:00:00+03:00,out,False,880026,True,1,0,17,2019-08-07,17
166377,2019-08-08 00:00:00+03:00,out,False,880022,False,2,558,568,2019-08-08,10
166377,2019-08-08 00:00:00+03:00,out,False,880022,True,4,0,28,2019-08-08,28
166377,2019-08-09 00:00:00+03:00,out,False,880028,False,17,1603,1725,2019-08-09,122
166377,2019-08-09 00:00:00+03:00,out,False,880028,True,2,0,2,2019-08-09,2
166377,2019-08-09 00:00:00+03:00,out,False,880022,True,2,0,10,2019-08-09,10
166377,2019-08-12 00:00:00+03:00,out,False,880028,False,20,2074,2191,2019-08-12,117
166377,2019-08-12 00:00:00+03:00,out,True,880028,True,1,0,26,2019-08-12,26
166377,2019-08-12 00:00:00+03:00,in,False,880028,False,1,407,411,2019-08-12,4
166377,2019-08-12 00:00:00+03:00,in,False,,True,2,0,34,2019-08-12,34
166377,2019-08-12 00:00:00+03:00,in,False,,True,2,0,34,2019-08-12,34
166377,2019-08-13 00:00:00+03:00,out,True,880026,True,2,0,23,2019-08-13,23
166377,2019-08-13 00:00:00+03:00,in,False,,True,7,0,128,2019-08-13,128
166377,2019-08-13 00:00:00+03:00,out,False,880026,False,4,258,287,2019-08-13,29
166377,2019-08-13 00:00:00+03:00,out,True,880028,True,1,0,16,2019-08-13,16
166377,2019-08-13 00:00:00+03:00,out,False,880028,False,10,647,788,2019-08-13,141
166377,2019-08-13 00:00:00+03:00,in,False,880028,False,1,88,102,2019-08-13,14
166377,2019-08-13 00:00:00+03:00,out,False,880028,True,1,0,60,2019-08-13,60
166377,2019-08-14 00:00:00+03:00,out,False,880028,True,7,0,105,2019-08-14,105
166377,2019-08-14 00:00:00+03:00,in,False,880026,False,2,197,218,2019-08-14,21
166377,2019-08-14 00:00:00+03:00,in,False,,True,1,0,3,2019-08-14,3
166377,2019-08-14 00:00:00+03:00,in,False,880028,False,1,33,37,2019-08-14,4
166377,2019-08-14 00:00:00+03:00,out,True,880026,True,2,0,0,2019-08-14,0
166377,2019-08-14 00:00:00+03:00,out,False,880026,True,7,0,38,2019-08-14,38
166377,2019-08-14 00:00:00+03:00,out,False,880026,False,10,1567,1654,2019-08-14,87
166377,2019-08-14 00:00:00+03:00,out,False,880026,False,10,1567,1654,2019-08-14,87
